product_id,date,nav,benchmark_nav,evidence_id
SP0001,2024-04-12,0.998654,1.0,ev_product_nav_SP0001_01
SP0001,2024-04-19,0.998751,1.000086,ev_product_nav_SP0001_02
SP0001,2024-04-26,0.999066,0.996545,ev_product_nav_SP0001_03
SP0001,2024-05-03,0.999062,0.996166,ev_product_nav_SP0001_04
SP0001,2024-05-10,0.999159,0.997956,ev_product_nav_SP0001_05
SP0001,2024-05-17,0.999248,1.004481,ev_product_nav_SP0001_06
SP0001,2024-05-24,0.999605,1.005706,ev_product_nav_SP0001_07
SP0001,2024-05-31,1.000034,1.007332,ev_product_nav_SP0001_08
SP0001,2024-06-07,1.000574,1.008536,ev_product_nav_SP0001_09
SP0001,2024-06-14,1.00068,1.007881,ev_product_nav_SP0001_10
SP0001,2024-06-21,1.001274,1.012971,ev_product_nav_SP0001_11
SP0001,2024-06-28,1.001773,1.007533,ev_product_nav_SP0001_12
SP0001,2024-07-05,1.001983,1.004422,ev_product_nav_SP0001_13
SP0001,2024-07-12,1.00139,1.003577,ev_product_nav_SP0001_14
SP0001,2024-07-19,1.001722,1.002708,ev_product_nav_SP0001_15
SP0001,2024-07-26,1.001643,1.007658,ev_product_nav_SP0001_16
SP0001,2024-08-02,1.001907,1.010119,ev_product_nav_SP0001_17
SP0001,2024-08-09,1.001889,1.006631,ev_product_nav_SP0001_18
SP0001,2024-08-16,1.002648,1.004291,ev_product_nav_SP0001_19
SP0001,2024-08-23,1.003191,1.00353,ev_product_nav_SP0001_20
SP0001,2024-08-30,1.002821,1.004313,ev_product_nav_SP0001_21
SP0001,2024-09-06,1.003144,1.00627,ev_product_nav_SP0001_22
SP0001,2024-09-13,1.00415,1.003701,ev_product_nav_SP0001_23
SP0001,2024-09-20,1.003941,1.007173,ev_product_nav_SP0001_24
SP0001,2024-09-27,1.00495,1.001717,ev_product_nav_SP0001_25
SP0001,2024-10-04,1.005001,1.003212,ev_product_nav_SP0001_26
