product_code,nav_date,nav,benchmark_nav,nav_evidence_id
WP0001,2024-03-01,0.996108,1.0,ev_weekly_nav_WP0001_20240301
WP0001,2024-03-08,0.995141,1.000672,ev_weekly_nav_WP0001_20240308
WP0001,2024-03-15,0.997269,1.001294,ev_weekly_nav_WP0001_20240315
WP0001,2024-03-22,0.998881,1.000176,ev_weekly_nav_WP0001_20240322
WP0001,2024-03-29,1.001542,0.997269,ev_weekly_nav_WP0001_20240329
WP0001,2024-04-05,1.004023,0.996875,ev_weekly_nav_WP0001_20240405
WP0001,2024-04-12,1.004876,0.995846,ev_weekly_nav_WP0001_20240412
WP0001,2024-04-19,1.004531,0.997531,ev_weekly_nav_WP0001_20240419
WP0001,2024-04-26,1.002083,0.999062,ev_weekly_nav_WP0001_20240426
WP0001,2024-05-03,1.007498,1.00196,ev_weekly_nav_WP0001_20240503
WP0001,2024-05-10,1.007345,1.003317,ev_weekly_nav_WP0001_20240510
WP0001,2024-05-17,1.006526,1.004135,ev_weekly_nav_WP0001_20240517
WP0001,2024-05-24,1.009302,1.006132,ev_weekly_nav_WP0001_20240524
WP0001,2024-05-31,1.011984,1.004636,ev_weekly_nav_WP0001_20240531
WP0001,2024-06-07,1.01027,1.007528,ev_weekly_nav_WP0001_20240607
WP0001,2024-06-14,1.011086,1.008714,ev_weekly_nav_WP0001_20240614
WP0001,2024-06-21,1.011995,1.00913,ev_weekly_nav_WP0001_20240621
WP0001,2024-06-28,1.01556,1.010256,ev_weekly_nav_WP0001_20240628
WP0001,2024-07-05,1.017134,1.010114,ev_weekly_nav_WP0001_20240705
WP0001,2024-07-12,1.015018,1.011755,ev_weekly_nav_WP0001_20240712
WP0001,2024-07-19,1.013435,1.01001,ev_weekly_nav_WP0001_20240719
WP0001,2024-07-26,1.011671,1.010621,ev_weekly_nav_WP0001_20240726
WP0001,2024-08-02,1.013575,1.011582,ev_weekly_nav_WP0001_20240802
WP0001,2024-08-09,1.016014,1.013746,ev_weekly_nav_WP0001_20240809
WP0001,2024-08-16,1.01693,1.017094,ev_weekly_nav_WP0001_20240816
WP0001,2024-08-23,1.016339,1.018136,ev_weekly_nav_WP0001_20240823
WP0001,2024-08-30,1.018572,1.018787,ev_weekly_nav_WP0001_20240830
WP0001,2024-09-06,1.016804,1.020563,ev_weekly_nav_WP0001_20240906
WP0001,2024-09-13,1.019847,1.017447,ev_weekly_nav_WP0001_20240913
WP0001,2024-09-20,1.021233,1.020523,ev_weekly_nav_WP0001_20240920
WP0001,2024-09-27,1.019771,1.021405,ev_weekly_nav_WP0001_20240927
WP0001,2024-10-04,1.021216,1.020981,ev_weekly_nav_WP0001_20241004
WP0001,2024-10-11,1.018839,1.01856,ev_weekly_nav_WP0001_20241011
WP0001,2024-10-18,1.019055,1.017106,ev_weekly_nav_WP0001_20241018
WP0001,2024-10-25,1.02309,1.019261,ev_weekly_nav_WP0001_20241025
WP0001,2024-11-01,1.026821,1.020318,ev_weekly_nav_WP0001_20241101
WP0001,2024-11-08,1.028322,1.024369,ev_weekly_nav_WP0001_20241108
WP0001,2024-11-15,1.033526,1.028566,ev_weekly_nav_WP0001_20241115
WP0001,2024-11-22,1.032216,1.030107,ev_weekly_nav_WP0001_20241122
WP0001,2024-11-29,1.029251,1.031484,ev_weekly_nav_WP0001_20241129
WP0001,2024-12-06,1.025233,1.030411,ev_weekly_nav_WP0001_20241206
WP0001,2024-12-13,1.028302,1.032256,ev_weekly_nav_WP0001_20241213
WP0001,2024-12-20,1.028124,1.032151,ev_weekly_nav_WP0001_20241220
WP0001,2024-12-27,1.027797,1.036406,ev_weekly_nav_WP0001_20241227
WP0001,2025-01-03,1.023196,1.033522,ev_weekly_nav_WP0001_20250103
WP0001,2025-01-10,1.022883,1.036839,ev_weekly_nav_WP0001_20250110
WP0001,2025-01-17,1.021113,1.038575,ev_weekly_nav_WP0001_20250117
WP0001,2025-01-24,1.021991,1.037314,ev_weekly_nav_WP0001_20250124
WP0001,2025-01-31,1.022083,1.037387,ev_weekly_nav_WP0001_20250131
WP0001,2025-02-07,1.023267,1.036919,ev_weekly_nav_WP0001_20250207
WP0001,2025-02-14,1.025052,1.034419,ev_weekly_nav_WP0001_20250214
WP0001,2025-02-21,1.026606,1.032469,ev_weekly_nav_WP0001_20250221
WP0001,2025-02-28,1.026159,1.033527,ev_weekly_nav_WP0001_20250228
WP0001,2025-03-07,1.023786,1.032573,ev_weekly_nav_WP0001_20250307
WP0001,2025-03-14,1.026094,1.036643,ev_weekly_nav_WP0001_20250314
WP0001,2025-03-21,1.025196,1.038112,ev_weekly_nav_WP0001_20250321
WP0001,2025-03-28,1.020964,1.039445,ev_weekly_nav_WP0001_20250328
WP0001,2025-04-04,1.023859,1.04131,ev_weekly_nav_WP0001_20250404
WP0002,2024-03-01,1.003769,1.0,ev_weekly_nav_WP0002_20240301
WP0002,2024-03-08,0.99127,1.00635,ev_weekly_nav_WP0002_20240308
WP0002,2024-03-15,0.98618,1.005654,ev_weekly_nav_WP0002_20240315
WP0002,2024-03-22,0.982703,1.00158,ev_weekly_nav_WP0002_20240322
WP0002,2024-03-29,0.979203,1.002726,ev_weekly_nav_WP0002_20240329
WP0002,2024-04-05,0.971953,1.005894,ev_weekly_nav_WP0002_20240405
WP0002,2024-04-12,0.988442,1.001985,ev_weekly_nav_WP0002_20240412
WP0002,2024-04-19,0.989762,1.00659,ev_weekly_nav_WP0002_20240419
WP0002,2024-04-26,0.995874,1.010392,ev_weekly_nav_WP0002_20240426
WP0002,2024-05-03,1.000436,1.014106,ev_weekly_nav_WP0002_20240503
WP0002,2024-05-10,1.009554,1.013797,ev_weekly_nav_WP0002_20240510
WP0002,2024-05-17,1.007656,1.005691,ev_weekly_nav_WP0002_20240517
WP0002,2024-05-24,1.015384,0.998275,ev_weekly_nav_WP0002_20240524
WP0002,2024-05-31,1.021408,0.994826,ev_weekly_nav_WP0002_20240531
WP0002,2024-06-07,1.015796,0.989633,ev_weekly_nav_WP0002_20240607
WP0002,2024-06-14,1.027014,0.990422,ev_weekly_nav_WP0002_20240614
WP0002,2024-06-21,1.027262,0.995227,ev_weekly_nav_WP0002_20240621
WP0002,2024-06-28,1.029581,0.997237,ev_weekly_nav_WP0002_20240628
WP0002,2024-07-05,1.024973,0.996154,ev_weekly_nav_WP0002_20240705
WP0002,2024-07-12,1.025792,0.997672,ev_weekly_nav_WP0002_20240712
WP0002,2024-07-19,1.028152,0.992187,ev_weekly_nav_WP0002_20240719
WP0002,2024-07-26,1.021726,0.988679,ev_weekly_nav_WP0002_20240726
WP0002,2024-08-02,1.024861,0.989612,ev_weekly_nav_WP0002_20240802
WP0002,2024-08-09,1.027664,0.98099,ev_weekly_nav_WP0002_20240809
WP0002,2024-08-16,1.034163,0.987778,ev_weekly_nav_WP0002_20240816
WP0002,2024-08-23,1.031614,0.987356,ev_weekly_nav_WP0002_20240823
WP0002,2024-08-30,1.042836,0.98192,ev_weekly_nav_WP0002_20240830
WP0002,2024-09-06,1.04774,0.982315,ev_weekly_nav_WP0002_20240906
WP0002,2024-09-13,1.05901,0.979879,ev_weekly_nav_WP0002_20240913
WP0002,2024-09-20,1.070434,0.979796,ev_weekly_nav_WP0002_20240920
WP0002,2024-09-27,1.076452,0.98646,ev_weekly_nav_WP0002_20240927
WP0002,2024-10-04,1.090561,0.984457,ev_weekly_nav_WP0002_20241004
WP0002,2024-10-11,1.084403,0.979457,ev_weekly_nav_WP0002_20241011
WP0002,2024-10-18,1.078334,0.975201,ev_weekly_nav_WP0002_20241018
WP0002,2024-10-25,1.079016,0.970032,ev_weekly_nav_WP0002_20241025
WP0002,2024-11-01,1.08973,0.978982,ev_weekly_nav_WP0002_20241101
WP0002,2024-11-08,1.087432,0.983451,ev_weekly_nav_WP0002_20241108
WP0002,2024-11-15,1.093848,0.9887,ev_weekly_nav_WP0002_20241115
WP0002,2024-11-22,1.09276,0.987918,ev_weekly_nav_WP0002_20241122
WP0002,2024-11-29,1.078273,0.985758,ev_weekly_nav_WP0002_20241129
WP0002,2024-12-06,1.084841,0.984553,ev_weekly_nav_WP0002_20241206
WP0002,2024-12-13,1.081124,0.982943,ev_weekly_nav_WP0002_20241213
WP0002,2024-12-20,1.087071,0.980591,ev_weekly_nav_WP0002_20241220
WP0002,2024-12-27,1.088569,0.987228,ev_weekly_nav_WP0002_20241227
WP0002,2025-01-03,1.079134,0.989705,ev_weekly_nav_WP0002_20250103
WP0002,2025-01-10,1.078296,0.986705,ev_weekly_nav_WP0002_20250110
WP0002,2025-01-17,1.077223,0.982579,ev_weekly_nav_WP0002_20250117
WP0002,2025-01-24,1.079191,0.984956,ev_weekly_nav_WP0002_20250124
WP0002,2025-01-31,1.091694,0.983386,ev_weekly_nav_WP0002_20250131
WP0002,2025-02-07,1.103041,0.987894,ev_weekly_nav_WP0002_20250207
WP0002,2025-02-14,1.092802,0.985483,ev_weekly_nav_WP0002_20250214
WP0002,2025-02-21,1.095086,0.988068,ev_weekly_nav_WP0002_20250221
WP0002,2025-02-28,1.091026,0.983791,ev_weekly_nav_WP0002_20250228
WP0002,2025-03-07,1.104302,0.98554,ev_weekly_nav_WP0002_20250307
WP0002,2025-03-14,1.110894,0.97954,ev_weekly_nav_WP0002_20250314
WP0002,2025-03-21,1.117491,0.973276,ev_weekly_nav_WP0002_20250321
WP0002,2025-03-28,1.101499,0.974874,ev_weekly_nav_WP0002_20250328
WP0002,2025-04-04,1.104339,0.972925,ev_weekly_nav_WP0002_20250404
WP0003,2024-03-01,0.998321,1.0,ev_weekly_nav_WP0003_20240301
WP0003,2024-03-08,0.980077,1.007635,ev_weekly_nav_WP0003_20240308
WP0003,2024-03-15,0.967506,1.01164,ev_weekly_nav_WP0003_20240315
WP0003,2024-03-22,0.966891,1.024139,ev_weekly_nav_WP0003_20240322
WP0003,2024-03-29,0.976466,1.016121,ev_weekly_nav_WP0003_20240329
WP0003,2024-04-05,0.96965,1.006368,ev_weekly_nav_WP0003_20240405
WP0003,2024-04-12,0.979424,1.004217,ev_weekly_nav_WP0003_20240412
WP0003,2024-04-19,0.987194,1.000178,ev_weekly_nav_WP0003_20240419
WP0003,2024-04-26,0.978927,0.999733,ev_weekly_nav_WP0003_20240426
WP0003,2024-05-03,0.979759,0.999103,ev_weekly_nav_WP0003_20240503
WP0003,2024-05-10,0.98986,0.984129,ev_weekly_nav_WP0003_20240510
WP0003,2024-05-17,0.982668,0.976778,ev_weekly_nav_WP0003_20240517
WP0003,2024-05-24,0.979504,0.990064,ev_weekly_nav_WP0003_20240524
WP0003,2024-05-31,0.973618,0.98729,ev_weekly_nav_WP0003_20240531
WP0003,2024-06-07,0.971462,0.98673,ev_weekly_nav_WP0003_20240607
WP0003,2024-06-14,0.978017,0.983508,ev_weekly_nav_WP0003_20240614
WP0003,2024-06-21,0.991707,0.976386,ev_weekly_nav_WP0003_20240621
WP0003,2024-06-28,1.004778,0.978786,ev_weekly_nav_WP0003_20240628
WP0003,2024-07-05,0.998205,0.98727,ev_weekly_nav_WP0003_20240705
WP0003,2024-07-12,0.979987,0.983747,ev_weekly_nav_WP0003_20240712
