report_date,product_code,product_name,product_series,product_type,channel,risk_level,open_type,holding_period_days,inception_date,running_days,product_scale_bn,scale_wow_bn,scale_mom_bn,latest_nav,daily_nav_change_bp,since_inception_annual_return,return_1m,return_3m,return_6m,return_1y,return_ytd,max_drawdown,volatility,sharpe,benchmark_lower,benchmark_upper,benchmark_status,evidence_id
2025-01-31,WP0001,现金优选纯固收样例001,多元配置,纯固收,个金,R2,日开,1,2024-02-16,350,7.7418,0.0,0.0,1.022083,0.18,0.02828,-0.001088,-0.004614,0.008394,0.026076,-0.006048,-0.01201,0.016333,0.506949,0.0174,0.0446,in_range,ev_snapshot_WP0001_20250131
2025-01-31,WP0002,封闭精选固收增强样例002,多元配置,固收增强,私银,R2,7天,7,2022-05-27,980,3.7946,0.0,0.0,1.091694,23.17,0.095232,0.011639,0.001802,0.065212,0.087595,0.009777,-0.031697,0.049048,1.53384,0.0327,0.0513,above_upper,ev_snapshot_WP0002_20250131
2025-01-31,WP0003,持有期增强多资产样例003,持有期增强,多资产,对公,R4,14天,14,2023-01-27,735,17.547,0.0,0.0,1.024462,-54.23,0.028398,-0.010956,-0.028806,0.030891,0.026185,-0.021669,-0.033642,0.081355,0.103223,0.0454,0.0586,below_lower,ev_snapshot_WP0003_20250131
2025-01-31,WP0004,悦享固收混合类样例004,现金优选,混合类,直销,R3,21天,21,2023-05-12,630,17.1296,0.0,0.0,1.064639,-1.69,0.065087,0.017452,0.048071,0.071442,0.059933,-0.000345,-0.050842,0.100824,0.447179,0.0473,0.0627,above_upper,ev_snapshot_WP0004_20250131
2025-01-31,WP0005,全球配置QDII样例005,现金优选,QDII,百信,R5,30天,30,2022-06-03,973,16.2919,0.0,0.0,1.092515,-43.1,0.095095,0.014419,0.02362,0.077934,0.087469,0.029212,-0.099794,0.108349,0.693081,0.0424,0.0736,above_upper,ev_snapshot_WP0005_20250131
2025-01-31,WP0006,稳健添利现金管理样例006,封闭精选,现金管理,交行,R1,60天,60,2022-01-21,1106,33.1287,0.0,0.0,1.018534,-1.04,0.015708,0.000627,0.004945,0.009106,0.014491,0.002085,-0.000835,0.003718,-1.154194,0.0111,0.0249,in_range,ev_snapshot_WP0006_20250131
2025-01-31,WP0007,封闭精选封闭式样例007,悦享固收,封闭式,厦门银行,R4,90天,90,2022-11-25,798,21.8393,0.0,0.0,0.972148,-15.58,-0.029973,0.00886,-0.010044,0.008205,-0.027699,-0.003603,-0.053072,0.064657,-0.772885,0.024,0.056,below_lower,ev_snapshot_WP0007_20250131
2025-01-31,WP0008,全球配置最短持有期型样例008,全球配置,最短持有期型,邮惠万家,R2,120天,120,2022-10-07,847,11.3573,0.0,0.0,1.006888,-26.14,0.010528,-0.009133,-0.001532,0.005076,0.009714,-0.007746,-0.014258,0.026018,-0.364059,0.0227,0.0493,below_lower,ev_snapshot_WP0008_20250131
2025-01-31,WP0009,封闭精选日开型样例009,持有期增强,日开型,个金,R2,180天,180,2022-06-03,973,16.1604,0.0,0.0,1.012674,1.62,0.018534,0.003229,0.002288,0.004806,0.017096,0.007021,-0.006563,0.008001,-0.183206,0.0127,0.0313,in_range,ev_snapshot_WP0009_20250131
2025-01-31,WP0010,稳健添利纯固收样例010,悦享固收,纯固收,私银,R2,270天,270,2023-12-15,413,25.8283,0.0,0.0,1.051115,4.75,0.05871,0.009839,0.008768,0.019565,0.054074,0.016774,-0.00857,0.017838,2.170032,0.0163,0.0457,above_upper,ev_snapshot_WP0010_20250131
2025-01-31,WP0011,多元配置固收增强样例011,悦享固收,固收增强,对公,R2,360天,360,2022-03-25,1043,21.4558,0.0,0.0,1.008659,-23.01,0.006248,-0.012503,0.003989,0.010793,0.005766,-0.01064,-0.020093,0.037537,-0.366342,0.0251,0.0589,below_lower,ev_snapshot_WP0011_20250131
